"Name1","Tiempo1","Nivel1"
"Well1",1982-10-13,683.338
"Well1",1982-10-14,683.942
"Well1",1982-10-15,682.167
"Well1",1982-10-16,680.312
"Well1",1982-10-17,685.862
"Well1",1982-10-18,682.792
"Well1",1982-10-19,682.802
"Well1",1982-10-20,685.12
"Well1",1982-10-21,683.212
"Well1",1982-10-22,679.392
"Well1",1982-10-23,685.227
"Well1",1982-10-24,680.902
"Well1",1982-10-25,684.142
"Well1",1982-10-26,682.942
"Well1",1982-10-27,682.322
"Well1",1982-10-28,682.139
"Well1",1982-10-29,680.062
"Well1",1982-10-30,681.932
"Well1",1982-10-31,682.412
"Well1",1982-11-01,683.012
"Well1",1982-11-02,682.542
"Well1",1982-11-03,681.822
"Well1",1982-11-04,682.137
"Well1",1982-11-05,684.972
"Well1",1982-11-06,685.222
"Well1",1982-11-07,688.72
"Well1",1982-11-08,683.323
"Well1",1982-11-09,681.907
"Well1",1982-11-10,685.205
"Well1",1982-11-11,683.282
"Well1",1982-11-12,686.806
"Well1",1982-11-13,685.857
"Well1",1982-11-14,684.697
"Well1",1982-11-15,686.572
"Well1",1982-11-16,684.832
"Well1",1982-11-17,686.417
"Well1",1982-11-18,684.597
"Well1",1982-11-19,685.12
"Well1",1982-11-20,685.378
"Well1",1982-11-21,682.944
"Well1",1982-11-22,683.202
"Well1",1982-11-24,684.942
"Well1",1982-11-25,685.357
"Well1",1982-11-27,684.653
"Well1",1982-11-28,686.523
"Well1",1982-12-04,682.901
"Well2",1983-01-17,690.858
"Well2",1983-01-18,692.009
"Well2",1983-01-19,694.229
"Well2",1983-01-20,695.609
"Well2",1983-01-21,693.969
"Well2",1983-01-22,695.429
"Well2",1983-01-23,695.789
"Well2",1983-01-24,694.559
"Well2",1983-01-25,694.749
"Well2",1983-01-26,693.97
"Well2",1983-01-27,693.629
"Well2",1983-01-28,692.899
"Well2",1983-01-29,696.124
"Well2",1983-01-30,694.154
"Well2",1983-01-31,695.259
"Well2",1983-02-01,694.419
"Well2",1983-02-02,696.249
"Well2",1983-02-03,696.004
"Well2",1983-02-04,697.659
"Well2",1983-02-05,697.589
"Well2",1983-02-06,698.441
"Well2",1983-02-07,697.853
"Well2",1983-02-09,697.524
"Well2",1983-02-10,697.939
"Well2",1983-02-11,698.199
"Well2",1983-02-12,697.547
"Well2",1983-02-13,697.529
"Well2",1983-02-14,697.805
"Well2",1983-02-15,697.803
"Well2",1983-02-19,697.889
"Well2",1983-02-20,697.789
"Well2",1983-02-21,697.936
"Well2",1983-02-22,656.672
"Well3",1983-04-27,694.182
"Well3",1983-04-28,694.382
"Well3",1983-04-29,694.302
"Well3",1983-04-30,694.418
"Well3",1983-05-01,694.332
"Well3",1983-05-02,694.72
"Well3",1983-05-03,694.617
"Well3",1983-05-04,694.582
"Well3",1983-05-05,694.752
"Well3",1983-05-06,694.668
"Well3",1983-05-08,694.392
"Well3",1983-05-25,695.882
"Well3",1983-05-26,695.752
"Well3",1983-05-27,695.557
"Well3",1983-05-28,695.54
"Well3",1983-05-29,695.682
"Well3",1983-05-30,695.567
"Well3",1983-05-31,695.512
"Well3",1983-06-01,695.147
"Well3",1983-06-02,695.392
"Well3",1983-06-03,695.436
"Well3",1983-06-04,695.448
"Well3",1983-06-05,695.253
"Well3",1983-06-06,695.499
"Well3",1983-06-07,695.512
"Well3",1983-06-08,695.462
"Well3",1983-06-09,695.427
"Well3",1983-06-10,695.459
"Well3",1983-06-11,695.458
"Well3",1983-06-12,695.399
"Well3",1983-06-13,695.392
"Well3",1983-06-14,694.397
"Well3",1983-06-15,695.249
"Well3",1983-06-16,696.09
"Well3",1983-06-17,696.072
"Well3",1983-06-18,696.052
"Well3",1983-06-19,696.227
"Well3",1983-06-20,696.147
"Well3",1983-06-21,696.112
"Well3",1983-06-22,696.412
"Well3",1983-06-23,696.452
"Well3",1983-06-24,695.902
"Well3",1983-06-25,695.929
"Well3",1983-06-26,696.009
"Well3",1983-06-27,695.918
"Well3",1983-06-28,695.962
"Well3",1983-06-29,696.017
"Well3",1983-06-30,696.095
"Well3",1983-07-02,695.949
"Well4",1983-07-07,694.021
"Well4",1983-07-09,694.122
"Well4",1983-07-10,693.908
"Well4",1983-07-11,694.266
"Well4",1983-07-12,693.611
"Well4",1983-07-13,693.699
"Well4",1983-07-18,693.911
"Well4",1983-07-19,680.726
"Well4",1983-07-20,679.431
"Well4",1983-07-21,675.276
"Well4",1983-07-23,679.701
"Well4",1983-08-04,695.181
"Well4",1983-08-05,695.051
"Well4",1983-08-06,695.181
"Well4",1983-08-07,695.17
"Well4",1983-08-08,694.961
"Well4",1983-08-09,695.131
"Well4",1983-08-10,695.176
"Well4",1983-08-11,694.321
"Well4",1983-08-12,694.347
"Well4",1983-08-13,694.071
"Well4",1983-08-14,693.892
"Well4",1983-08-15,694.566
"Well4",1983-08-16,694.741
"Well4",1983-08-17,694.441
"Well4",1983-08-18,694.569
"Well4",1983-08-19,694.643
"Well4",1983-08-20,694.798
"Well4",1983-08-21,694.749
"Well4",1983-08-22,694.666
"Well4",1983-08-23,694.601
"Well4",1983-08-24,693.765
"Well4",1983-08-25,693.714
"Well4",1983-08-30,699.331
"Well4",1983-08-31,701.431
"Well5",1983-09-03,696.7
"Well5",1983-09-04,696.52
"Well5",1983-09-05,696.52
"Well5",1983-09-06,696.31
"Well5",1983-09-07,696.487
"Well5",1983-09-08,696.617
"Well5",1983-09-09,695.76
"Well5",1983-09-10,696.295
"Well5",1983-09-11,696.68
"Well5",1983-09-12,696.721
"Well5",1983-09-13,697.036
"Well5",1983-09-14,697.044
"Well5",1983-09-15,695.99
"Well5",1983-09-16,696.335
"Well5",1983-09-17,696.232
"Well5",1983-09-18,696.507
"Well5",1983-09-19,696.206
"Well5",1983-09-20,688.925
"Well5",1983-09-21,685.003
"Well5",1983-09-22,680.64
"Well5",1983-09-23,684.935
"Well5",1983-09-24,696.415
"Well5",1983-09-25,696.683
"Well5",1983-09-26,697.062
"Well5",1983-09-27,697.084
"Well5",1983-09-28,696.387
"Well5",1983-09-29,696.401
"Well5",1983-09-30,680.574
"Well5",1983-10-01,685.446
"Well5",1983-10-02,680.56
"Well5",1983-10-03,680.667
"Well5",1983-10-06,699.36
"Well5",1983-10-07,680.51
"Well5",1983-10-08,680.48
"Well5",1983-10-15,684.75
"Well6_SinAnoms",1987-03-10,694.882
"Well6_SinAnoms",1987-03-11,695.11
"Well6_SinAnoms",1987-03-12,695.15
"Well6_SinAnoms",1987-03-13,695.225
"Well6_SinAnoms",1987-03-14,694.757
"Well6_SinAnoms",1987-03-15,694.58
"Well6_SinAnoms",1987-03-16,694.59
"Well6_SinAnoms",1987-03-17,694.847
"Well6_SinAnoms",1987-03-18,694.991
"Well6_SinAnoms",1987-03-19,694.598
"Well6_SinAnoms",1987-03-20,694.46
"Well6_SinAnoms",1987-03-21,694.63
"Well6_SinAnoms",1987-03-22,694.4
"Well6_SinAnoms",1987-03-23,694.421
"Well6_SinAnoms",1987-03-24,694.737
"Well6_SinAnoms",1987-03-25,694.351
"Well6_SinAnoms",1987-03-26,694.386
"Well6_SinAnoms",1987-03-27,694.455
"Well6_SinAnoms",1987-03-28,694.553
"Well6_SinAnoms",1987-03-29,694.188
"Well6_SinAnoms",1987-03-30,694.133
"Well6_SinAnoms",1987-03-31,694.23
"Well6_SinAnoms",1987-04-01,694.815
"Well6_SinAnoms",1987-04-02,694.795
"Well6_SinAnoms",1987-04-03,694.582
"Well6_SinAnoms",1987-04-04,694.36
"Well6_SinAnoms",1987-04-05,694.332
"Well6_SinAnoms",1987-04-06,694.98
"Well6_SinAnoms",1987-04-07,695.015
"Well6_SinAnoms",1987-04-08,694.939
"Well6_SinAnoms",1987-04-10,695
"Well6_SinAnoms",1987-04-11,695.03
"Well6_SinAnoms",1987-04-12,695.205
"Well6_SinAnoms",1987-04-13,695.065
"Well6_SinAnoms",1987-04-14,695.365
"Well6_SinAnoms",1987-04-15,695.3
"Well6_SinAnoms",1987-04-16,695.38
"Well6_SinAnoms",1987-04-17,694.91
"Well6_SinAnoms",1987-04-18,694.88
"Well6_SinAnoms",1987-04-19,694.86
"Well6_SinAnoms",1987-04-20,694.84
"Well6_SinAnoms",1987-04-21,694.91
"Well6_SinAnoms",1987-04-22,694.93
"Well6_SinAnoms",1987-04-23,694.58
"Well6_SinAnoms",1987-04-24,694.911
"Well6_SinAnoms",1987-04-25,694.95
"Well6_SinAnoms",1987-04-26,695.185
"Well7",1983-10-24,694.449
"Well7",1983-10-25,694.167
"Well7",1983-10-28,694.263
"Well7",1983-10-29,694.258
"Well7",1983-11-07,694.038
"Well7",1983-11-09,694.388
"Well7",1983-11-21,695.068
"Well7",1983-11-22,694.908
"Well7",1983-11-23,694.868
"Well7",1983-11-24,694.818
"Well7",1983-11-25,695.015
"Well7",1983-11-26,694.955
"Well7",1983-11-27,694.678
"Well7",1983-11-28,694.868
"Well7",1983-11-29,694.718
"Well7",1983-11-30,694.623
"Well7",1983-12-01,694.954
"Well7",1983-12-02,694.885
"Well7",1983-12-03,694.614
"Well7",1983-12-04,694.618
"Well7",1983-12-05,694.823
"Well7",1983-12-06,694.633
"Well7",1983-12-07,694.362
"Well7",1983-12-08,694.772
"Well7",1983-12-09,694.684
"Well7",1983-12-10,694.618
"Well7",1983-12-11,694.255
"Well7",1983-12-12,694.158
"Well7",1983-12-13,695.217
"Well7",1983-12-14,694.978
"Well7",1983-12-15,694.908
"Well7",1983-12-16,695.238
"Well7",1983-12-18,694.838
"Well7",1983-12-19,694.608
"Well7",1983-12-20,695.186
"Well7",1983-12-21,695.284
"Well7",1983-12-22,694.675
"Well7",1983-12-23,694.644
"Well7",1983-12-24,694.628
"Well7",1983-12-25,694.828
"Well7",1983-12-26,694.778
"Well7",1983-12-27,694.88
"Well7",1983-12-28,694.688
"Well7",1983-12-29,694.44
"Well7",1983-12-30,694.333
"Well7",1983-12-31,694.353
